time,datetime,Blue,Green,Red,NIR,visnirAlbedo,std3,std5,std9,std15,satellite
1206451777366,2008-03-25 13:29:37.366,0.9829785227775574,0.9708289504051208,0.9729142189025879,0.9433873295783997,0.8067987346649168,0.036400981394926715,0.03683778933681583,0.03406187084256276,0.03482307713305168,Landsat
1207662118423,2008-04-08 13:41:58.423,0.945501446723938,0.9167536497116089,0.9208031892776489,0.8470561504364014,0.7171689495682716,0.020654675612129438,0.023186566213464183,0.026192152885061007,0.029675458287672367,Landsat
1209649684807,2008-05-01 13:48:04.807,0.927293062210083,0.9258158802986145,0.91560959815979,0.8643258810043335,0.767553730452061,0.023148569151938612,0.0289073313807966,0.026967355365516865,0.026930455128065727,Landsat
1213191696462,2008-06-11 13:41:36.462,0.737211287021637,0.732587456703186,0.7018552422523499,0.5071520209312439,0.48960151500701876,0.01743854544860101,0.023173205229927635,0.025470971000846908,0.026118503775278353,Landsat
1213796863179,2008-06-18 13:47:43.179,0.874394953250885,0.8620224595069885,0.8162893652915955,0.6570891737937927,0.6672916766405109,0.03081645427684288,0.02694933803168913,0.023883545705071237,0.023043233526999878,Landsat
1213968920338,2008-06-20 13:35:20.338,0.8458554148674011,0.8114051222801208,0.7753825187683105,0.6345620155334473,0.654159514504671,0.014964162614317563,0.01947793449058825,0.02586461470767351,0.025011332492313916,Landsat
1216561640631,2008-07-20 13:47:20.631,0.5525525808334351,0.5462153553962708,0.5217133164405823,0.3799084424972534,0.4281641258955001,0.02131853621330376,0.026761486695597955,0.03154741620290861,0.0313195605582965,Landsat
1217338865846,2008-07-29 13:41:05.846,0.497776061296463,0.4766685962677002,0.44471392035484314,0.2675720453262329,0.36216825133264074,0.009459673817239618,0.02411668713260565,0.028988666721657248,0.0298756406979248,Landsat
1217510923538,2008-07-31 13:28:43.538,0.5495532155036926,0.5215326547622681,0.49729177355766296,0.3132253587245941,0.3687941628187894,0.03228576090683934,0.028886498187966313,0.02651805103883439,0.02568403317465513,Landsat
1219326427606,2008-08-21 13:47:07.606,0.5937561392784119,0.5797516107559204,0.5767421126365662,0.44472813606262207,0.4183606475651265,0.01956739981715753,0.02370432073464366,0.023011884521274287,0.020708772240367743,Landsat
1237297691311,2009-03-17 13:48:11.311,0.783262312412262,0.7394437789916992,0.7184864282608032,0.6261767148971558,0.6465712652504445,0.0404260546908054,0.03475968678283949,0.031714509666948026,0.031955539538740516,Landsat
1237469750551,2009-03-19 13:35:50.551,0.8934516310691833,0.8635129928588867,0.871143102645874,0.8154116272926331,0.6999425270318984,0.03323619336496044,0.03424770036303171,0.03472653816425041,0.03645776177198953,Landsat
1238074924250,2009-03-26 13:42:04.250,0.9240513443946838,0.8954991102218628,0.8977237939834595,0.8670544624328613,0.7683563330829146,0.02887641072952137,0.03356439588030346,0.03331360589978608,0.033978078532817854,Landsat
1238852156667,2009-04-04 13:35:56.667,0.9786460995674133,0.9579212665557861,0.9731184244155884,0.8969354033470154,0.7075393190860748,0.049175999327408605,0.04202914557727804,0.033783863861295,0.029757757266614466,Landsat
1239457329693,2009-04-11 13:42:09.693,0.9519546627998352,0.9211357235908508,0.9227872490882874,0.8791998028755188,0.770136812269687,0.023218586428480646,0.024067317087417897,0.027438642449911236,0.02687837930723748,Landsat
1239629388636,2009-04-13 13:29:48.636,0.9353823065757751,0.9182143211364746,0.9215326309204102,0.8687847256660461,0.7403707717895509,0.03094941499060635,0.025826878931408618,0.02593407159582086,0.025220700128779788,Landsat
1240062502381,2009-04-18 13:48:22.381,0.9285655617713928,0.9098973274230957,0.9269596338272095,0.8881508111953735,0.7226731446325778,0.025876354066448042,0.02563502703928643,0.024791023273684928,0.027569431073648187,Landsat
1240839733574,2009-04-27 13:42:13.574,0.9713142514228821,0.945699155330658,0.9619434475898743,0.908814549446106,0.7334746405422685,0.03286524055672773,0.02758643635786109,0.026095884463701233,0.025669136227669774,Landsat
1245158993759,2009-06-16 13:29:53.759,0.8270411491394043,0.8143264651298523,0.7935309410095215,0.6451101899147034,0.5913131124675274,0.03194981893685753,0.026649955736781333,0.021304586136600627,0.02246216688976688,Landsat
1246974502474,2009-07-07 13:48:22.474,0.6092075109481812,0.5616867542266846,0.5182412266731262,0.2823461592197418,0.38373475398719303,0.03402406143999928,0.03255539989378029,0.03969193590372208,0.03904377818284755,Landsat
1247060433888,2009-07-08 13:40:33.888,0.5755780935287476,0.565323531627655,0.512172281742096,0.29409223794937134,0.40504726915955536,0.02413201991297717,0.025672687508357526,0.02827575825632833,0.031035068083908046,Landsat
1247146560367,2009-07-09 13:36:00.367,0.5956648588180542,0.5485405325889587,0.5232305526733398,0.32357388734817505,0.3823004721224309,0.028486095264929356,0.02736921624948937,0.02928993125247939,0.030540849798674895,Landsat
1247232494296,2009-07-10 13:28:14.296,0.5949074625968933,0.5872339010238647,0.5348140597343445,0.3636702597141266,0.482023236170411,0.014054524508563098,0.02252056623584332,0.027568465340456143,0.0313101107883129,Landsat
1247751729273,2009-07-16 13:42:09.273,0.6416553258895874,0.6170439124107361,0.581964910030365,0.4070608615875244,0.467994725263119,0.022439868529089472,0.026387192469222977,0.026613459174914835,0.02866107926266031,Landsat
1247923787059,2009-07-18 13:29:47.059,0.5595208406448364,0.528687059879303,0.489151269197464,0.2900659441947937,0.3913737502157689,0.02542595608974936,0.024373909464963685,0.022574084851310836,0.027498063978408333,Landsat
