time,datetime,Blue,Green,Red,NIR,visnirAlbedo,std3,std5,std9,std15,satellite
1206451777366,2008-03-25 13:29:37.366,0.7685078382492065,0.715088963508606,0.7117172479629517,0.6341627240180969,0.616666475945711,0.020030203521564392,0.02034840931045263,0.02537898655283307,0.030705464186127587,Landsat
1206884889811,2008-03-30 13:48:09.811,0.9002683758735657,0.8960356712341309,0.8978988528251648,0.862229585647583,0.7431437781751153,0.030817792422111606,0.03426411269531264,0.03373294234424617,0.04023404290272069,Landsat
1207056948126,2008-04-01 13:35:48.126,0.9109025597572327,0.9045911431312561,0.9258508682250977,0.8734432458877563,0.679990663510561,0.02370954639043213,0.026141218032197894,0.0305742063768676,0.037009444991715205,Landsat
1207662118423,2008-04-08 13:41:58.423,0.8968448638916016,0.8825019598007202,0.8998245596885681,0.8199370503425598,0.6424830831468107,0.026194574714849015,0.026636426873015154,0.024496231424655603,0.023809294161215397,Landsat
1208267288303,2008-04-15 13:48:08.303,0.9042069911956787,0.9135341644287109,0.9318323135375977,0.8924099802970886,0.6989255317270757,0.023285073786127434,0.028537780964360986,0.027817421673000407,0.028665131759704972,Landsat
1208611404394,2008-04-19 13:23:24.394,0.9113569855690002,0.9172008037567139,0.9261718392372131,0.8734099864959717,0.7077318985164167,0.02369361071543569,0.029148485729143633,0.031991513344610346,0.0340322184055521,Landsat
1210426911138,2008-05-10 13:41:51.138,0.8550050258636475,0.867954671382904,0.8992993831634521,0.8492523431777954,0.6195782858252528,0.03346265151281441,0.027909415554993697,0.024616643314614516,0.025555950121332698,Landsat
1210598968803,2008-05-12 13:29:28.803,0.8547626733779907,0.8697730898857117,0.8718141913414001,0.8272242546081543,0.697499504840374,0.022504257513257263,0.024657900654501793,0.025108631435386584,0.02782356498520074,Landsat
1213191696462,2008-06-11 13:41:36.462,0.47799229621887207,0.4837931990623474,0.46224960684776306,0.2853076159954071,0.3206102962166073,0.020145109436490307,0.026420949136808442,0.023547896869476597,0.022682192353222136,Landsat
1213796863179,2008-06-18 13:47:43.179,0.5785169005393982,0.5511935949325562,0.5356602072715759,0.3529224395751953,0.3686361144602299,0.022602077872453736,0.024175478504449687,0.02608989846229846,0.030752071330982372,Landsat
1216561640631,2008-07-20 13:47:20.631,0.4624197483062744,0.44575563073158264,0.4418545365333557,0.26900288462638855,0.27672874743044384,0.019122785205968742,0.02467039553201758,0.023814479045973745,0.023279055666347078,Landsat
1216905755061,2008-07-24 13:22:35.061,0.5109854340553284,0.4869232475757599,0.46131592988967896,0.2791517376899719,0.348860696530342,0.027340910304916213,0.027262521227706598,0.026555055535427516,0.027195953226393857,Landsat
1217338865846,2008-07-29 13:41:05.846,0.4515432119369507,0.4374684691429138,0.40617045760154724,0.21582943201065063,0.31053154022097595,0.029261618857617213,0.02907071011855243,0.028494294540209734,0.026662923329145518,Landsat
1217510923538,2008-07-31 13:28:43.538,0.43139588832855225,0.4143657088279724,0.39916783571243286,0.23103609681129456,0.2902827291697263,0.018650885193229362,0.020910012925898776,0.020696780693965702,0.021553228972049216,Landsat
1217944034169,2008-08-05 13:47:14.169,0.47432637214660645,0.46170398592948914,0.4556846618652344,0.2752585709095001,0.2783954560369255,0.032605572649706205,0.029616367038115352,0.028134180759956055,0.027248797566494207,Landsat
1237469750551,2009-03-19 13:35:50.551,0.8567319512367249,0.8377869725227356,0.8635569214820862,0.8224659562110901,0.6512384349465368,0.042691429152096984,0.0397922287776116,0.04050853961793228,0.04292033985243958,Landsat
1238074924250,2009-03-26 13:42:04.250,0.8995412588119507,0.8583558797836304,0.8910713195800781,0.8727777600288391,0.6979761799633502,0.024166050419009072,0.02840067418070887,0.03148342287440827,0.03606394527456965,Landsat
1238680097606,2009-04-02 13:48:17.606,0.9002380967140198,0.8882552981376648,0.9128668904304504,0.8758057951927185,0.6873846427679065,0.028847104298303894,0.029250972894625752,0.027672305135870913,0.03040627421481187,Landsat
1238852156667,2009-04-04 13:35:56.667,0.9052673578262329,0.8892092108726501,0.9049306511878967,0.8673539161682129,0.7119613245368004,0.0317378306214586,0.030245138439993408,0.02999251202871538,0.03362536754334398,Landsat
1239024215692,2009-04-06 13:23:35.692,0.9166589379310608,0.8985397219657898,0.9108536839485168,0.8872856497764587,0.747767759108543,0.02572860884374444,0.027089758941979247,0.026876387023809078,0.02873957433073352,Landsat
1239457329693,2009-04-11 13:42:09.693,0.9193553328514099,0.9051575660705566,0.9330869317054749,0.8841577768325806,0.6754829173028472,0.029450621914196697,0.027281969856087915,0.026313440499061827,0.029334219154669293,Landsat
1239629388636,2009-04-13 13:29:48.636,0.9128112196922302,0.907989501953125,0.9314821362495422,0.909480094909668,0.7186591491281984,0.022287210060356392,0.020795553414793867,0.027570473496516507,0.028693172375783515,Landsat
1240062502381,2009-04-18 13:48:22.381,0.8945726156234741,0.8850656151771545,0.8990659713745117,0.8734432458877563,0.7250749067068101,0.011964488313409656,0.020426349393691548,0.02376729004614938,0.024163024904223365,Landsat
1242999365673,2009-05-22 13:36:05.673,0.8291922211647034,0.8480415940284729,0.8322494626045227,0.6780191659927368,0.5680773460924624,0.014709536391985276,0.01876394873866591,0.022314037070306568,0.02483934594267347,Landsat
1243776594897,2009-05-31 13:29:54.897,0.668286144733429,0.659135639667511,0.6496275067329407,0.506120502948761,0.4661271731972696,0.022686358482353047,0.020465563147448074,0.019258315091534257,0.019717134632638203,Landsat
