time,datetime,Blue,Green,Red,NIR,visnirAlbedo,std3,std5,std9,std15,satellite
1399819395374,2014-05-11 14:43:15.374,0.9873124957084656,0.9403150081634521,0.9185624718666077,0.8142549991607666,0.7661844428122044,0.0032254511076250793,0.004750349318144576,0.011818541244866244,0.03447815805796852,Landsat
1401201792578,2014-05-27 14:43:12.578,0.9826375246047974,0.9506549835205078,0.9406175017356873,0.8266850113868713,0.7191731893599034,0.004410709952725208,0.007923692878580831,0.013596688914429498,0.030282956690146204,Landsat
1402584201588,2014-06-12 14:43:21.588,0.9168574810028076,0.8820425271987915,0.8612800240516663,0.6421599984169006,0.5533855886876583,0.004132713138222812,0.007522940775073154,0.01208925689077933,0.024065082820831658,Landsat
1405349011839,2014-07-14 14:43:31.839,0.7064275145530701,0.7292525172233582,0.7403349876403809,0.5836399793624878,0.4184942780673506,0.007683642366551038,0.010119028870162965,0.023490395538246608,0.029765179574573693,Landsat
1406731416768,2014-07-30 14:43:36.768,0.418007493019104,0.4291999936103821,0.4054949879646301,0.26125749945640564,0.33187048569023625,0.023309033620291592,0.03260126845588563,0.04520033284901113,0.05741686367377249,Landsat
1408718995268,2014-08-22 14:49:55.268,0.37584999203681946,0.3803049921989441,0.32970499992370605,0.1719924956560135,0.3508558338299394,0.024557625301166883,0.033126619547178854,0.0583842110748565,0.06863162636127502,Landsat
1410878627864,2014-09-16 14:43:47.864,0.8781924843788147,0.8544049859046936,0.871922492980957,0.7939324975013733,0.6337353763461113,0.004483787855487891,0.008819754595270148,0.018025452761281854,0.03694971783999158,Landsat
1424702608153,2015-02-23 14:43:28.153,0.8013575077056885,0.6225249767303467,0.5406025052070618,0.39922499656677246,0.7547579502344132,0.006309353298301133,0.011601348240139595,0.016560860806021347,0.017146677257181758,Landsat
1426690165676,2015-03-18 14:49:25.676,0.8881750106811523,0.8539100289344788,0.8684849739074707,0.7964349985122681,0.6572482069611549,0.005440064565633518,0.006879346258175381,0.01898983149902718,0.03921001022028806,Landsat
1429454953166,2015-04-19 14:49:13.166,0.9658899903297424,0.9100375175476074,0.9144650101661682,0.8259149789810181,0.7124874520599846,0.004073620605266544,0.00582126845216445,0.012654403231652334,0.02722536282049577,Landsat
1432219733552,2015-05-21 14:48:53.552,0.9964424967765808,0.952305018901825,0.9638550281524658,0.8860024809837341,0.7289201403021814,0.0028273301152234387,0.00492159848328569,0.013487515968371229,0.030954673693052274,Landsat
1434379376988,2015-06-15 14:42:56.988,0.9843149781227112,0.9304425120353699,0.8851500153541565,0.6763700246810913,0.6741618686020375,0.002604083814927295,0.0029473368647643886,0.0077300657916022355,0.018454019219146595,Landsat
1435761783369,2015-07-01 14:43:03.369,0.8356224894523621,0.8093875050544739,0.8118900060653687,0.643589973449707,0.5145460030853746,0.004521118890331119,0.006895401927095117,0.010514667229728578,0.02396907048216258,Landsat
1436366959705,2015-07-08 14:49:19.705,0.8727750182151794,0.8420299887657166,0.8391425013542175,0.6630324721336365,0.5415586226344107,0.0030834545008236354,0.004140409001998249,0.006338663304701326,0.013153703816681862,Landsat
1437144193463,2015-07-17 14:43:13.463,0.8275099992752075,0.8037225008010864,0.8060600161552429,0.6356974840164185,0.5063514010906218,0.003055703502642425,0.004791163470115553,0.011229659357034488,0.0285520363672074,Landsat
1438526596968,2015-08-02 14:43:16.968,0.7641500234603882,0.771465003490448,0.7686874866485596,0.6045399904251099,0.48148727214336384,0.004286151202794683,0.004955465738501727,0.008987116522988378,0.02140162201782393,Landsat
1441896583974,2015-09-10 14:49:43.974,0.5437374711036682,0.5429674983024597,0.5364775061607361,0.4041750133037567,0.39160845613181616,0.012099155477962822,0.017730831960800327,0.021208227108689425,0.02137142454547099,Landsat
1444056220870,2015-10-05 14:43:40.870,0.935034990310669,0.8549824953079224,0.8317999839782715,0.7137150168418884,0.7203364347279071,0.00590107649855661,0.00679884413250987,0.009593439838627992,0.015853161923638656,Landsat
1445438623312,2015-10-21 14:43:43.312,0.36223751306533813,0.2096399962902069,0.12199749797582626,0.042192500084638596,0.5631436828363687,0.004574834685166415,0.005025046488040868,0.012657727574152277,0.021309852822289893,Landsat
1459262600572,2016-03-29 14:43:20.572,0.5048249959945679,0.3225550055503845,0.2397249937057495,0.16242249310016632,0.6529842249915004,0.03849560658651349,0.04546663962492485,0.05246398295746511,0.05890306558329482,Landsat
1462027395888,2016-04-30 14:43:15.888,0.9434775114059448,0.9100924730300903,0.8792650103569031,0.6766175031661987,0.6182608951568606,0.0038412032276487922,0.005208024654639717,0.013368560925311333,0.03694927908919957,Landsat
1463409793448,2016-05-16 14:43:13.448,0.8977174758911133,0.8775050044059753,0.8548725247383118,0.6619874835014343,0.5803853143513201,0.003928202869787566,0.006432539078845708,0.01632009742279851,0.03437593146250642,Landsat
1465397371717,2016-06-08 14:49:31.717,0.83177250623703,0.8236050009727478,0.8133749961853027,0.6240925192832947,0.510532465541363,0.004214803079512559,0.005107551462325215,0.010325956544880213,0.022500261630006523,Landsat
1467557011776,2016-07-03 14:43:31.776,0.46390500664711,0.4669575095176697,0.4539225101470947,0.3096024990081787,0.33734822995364666,0.03584485771394613,0.04637263031260701,0.048935212612301,0.04661578250990006,Landsat
1468939418237,2016-07-19 14:43:38.237,0.3529975116252899,0.3621549904346466,0.3032500147819519,0.08803500235080719,0.2738688660517335,0.03928599249136445,0.04606622270069959,0.06579591716263715,0.07167886013404091,Landsat
1469544590708,2016-07-26 14:49:50.708,0.3786824941635132,0.3922399878501892,0.38453999161720276,0.26232999563217163,0.298241955381632,0.01907381783232306,0.03035853460235327,0.042383750854230226,0.041196042380725904,Landsat
1470321821226,2016-08-04 14:43:41.226,0.3492025136947632,0.376895010471344,0.37931498885154724,0.26618000864982605,0.26532887432873253,0.024854553409661855,0.03364222329760929,0.0432016187701863,0.039038783515544934,Landsat
1471704226271,2016-08-20 14:43:46.271,0.3563250005245209,0.36421748995780945,0.3773075044155121,0.29027000069618225,0.28394161819219577,0.020899224392012892,0.028505265534211524,0.03692091744986453,0.03464845495833659,Landsat
1474469033890,2016-09-21 14:43:53.890,0.9237874746322632,0.9012374877929688,0.9025850296020508,0.7989374995231628,0.666253083652258,0.014174073526314121,0.020275867145067066,0.034690276064399964,0.05719801728337929,Landsat
