time,datetime,Blue,Green,Red,NIR,visnirAlbedo,std3,std5,std9,std15,satellite,Albedo_theta<70d,Year,MonthOfYear,DayOfMonth,HourOfDay(UTC),CloudCover,Station
1172758213793,2007-03-01 14:10:13.793,0.8005920648574829,0.7644245624542236,0.7438125014305115,0.6680033802986145,0.6794154372513292,0.0330095190918014,0.0357349711308829,0.0391108403020201,0.0507017972426977,Landsat,,,,,,,
1174140616087,2007-03-17 14:10:16.087,0.9734047651290894,0.9508562684059144,0.9737603664398192,0.931807577610016,0.7341753021061419,0.0239300448518663,0.0251831892226866,0.0245374694019264,0.0275855377793056,Landsat,,,,,,,
1174745787280,2007-03-24 14:16:27.280,0.9696782231330872,0.9819481372833252,0.9856355786323548,0.9299108982086182,0.7537534841954705,0.0234108445654781,0.0238420915042501,0.0264679786245789,0.0331025315571741,Landsat,,,,,,,
1187964582541,2007-08-24 14:09:42.541,0.2652788162231445,0.2561640441417694,0.2813199162483215,0.1844178289175033,0.1833658870711923,0.0186019276384817,0.0211982587793502,0.0193948664499854,0.020394701324898,Landsat,,,,,,,
1191506592208,2007-10-04 14:03:12.208,0.6344144344329834,0.6269408464431763,0.6206834316253662,0.5235899090766907,0.5014195393502713,0.0275684262627838,0.0285341681889397,0.0295581152911262,0.0325763361190196,Landsat,0.374,2007.0,10.0,4.0,15.0,0.0,QAS_L
1191506616085,2007-10-04 14:03:36.085,0.6285065412521362,0.6209192276000977,0.6159566640853882,0.5256196856498718,0.503983101552725,0.0272451781114996,0.0270015534148846,0.0283584253466161,0.0315998203294062,Landsat,0.374,2007.0,10.0,4.0,15.0,0.0,QAS_L
1192111768219,2007-10-11 14:09:28.219,0.3731958270072937,0.359097957611084,0.3492743074893951,0.1768976747989654,0.2326323363810778,0.0305555048432,0.0334015162599859,0.0353374768167411,0.0358690085095095,Landsat,,,,,,,
1193494180287,2007-10-27 14:09:40.287,0.5065621137619019,0.4864760935306549,0.4381489753723144,0.2507681846618652,0.3927976691007615,0.0496531021850036,0.0445938849068991,0.0403427002726456,0.0445670109620429,Landsat,,,,,,,
1213624996996,2008-06-16 14:03:16.996,0.3984633088111877,0.390994668006897,0.3940034210681915,0.2801167368888855,0.3001198310971259,0.021418459481294,0.0198637075764945,0.022320595793859,0.0230837240452105,Landsat,0.189,2008.0,6.0,16.0,14.0,0.25,QAS_L
1213625020872,2008-06-16 14:03:40.872,0.3976452946662903,0.3910841047763824,0.3942368328571319,0.284076452255249,0.304379061216116,0.0210716950596699,0.0199795907928991,0.0225783516296992,0.0231779129551258,Landsat,0.189,2008.0,6.0,16.0,14.0,0.25,QAS_L
1216994941385,2008-07-25 14:09:01.385,0.2885164022445678,0.2871664464473724,0.3055080771446228,0.2029187232255935,0.2059610975787042,0.0159771690026526,0.0162135884264798,0.0167630927192758,0.0180540307796955,Landsat,0.724,2008.0,7.0,25.0,14.0,0.48,QAS_L
1217600109845,2008-08-01 14:15:09.845,0.253008633852005,0.2461478859186172,0.2607206106185913,0.1578643769025802,0.1920763396129012,0.0182069503393802,0.0170578908565867,0.0175437163147996,0.0190626691002362,Landsat,,,,,,,
1217772167498,2008-08-03 14:02:47.498,0.2837598323822021,0.2755703628063202,0.2918530106544494,0.1729046702384948,0.1856069857299329,0.0178142382209847,0.0180551055007181,0.0181013233805071,0.0175148351003576,Landsat,,,,,,,
